sample,0,1,2,3,4,5,6,7,8,9,0:0,0:1,0:2,0:3,0:4,0:5,0:6,0:7,0:8,0:9,0:10,0:11,0:12,0:13,0:14,1:0,1:1,1:2,1:3,2:0,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,2:9,2:10,2:11,2:12,2:13,3:0,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8,3:9,3:10,3:11,3:12,3:13,4:0,4:1,4:2,4:3,4:4,5:0,5:1,5:2,5:3,5:4,5:5,5:6,5:7,5:8,5:9,5:10,5:11,5:12,5:13,5:14,5:15,5:16,5:17,5:18,5:19,5:20,5:21,5:22,5:23,6:0,6:1,6:2,6:3,7:0,7:1,7:2,7:3,7:4,7:5,7:6,7:7,8:0,8:1,9:0,9:1,9:2,target
0,0.9854056061227835,0.9945873716646504,0.00021191644075736136,0.903154585585861,0.00023714120296431114,0.00011978100117126691,0.13413892259606233,0.9920673216132109,0.9933968144030225,0.0744691444847902,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.259130676294959
1,0.0071388051872077396,0.004863649194793458,0.9997726970071618,0.9851588029682441,0.9997473389168458,0.9998735422140826,0.013511010512145233,0.00540283576565812,0.005997658871633738,0.013687452016870473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.1319261213720316
2,0.0012356020888250202,0.6362903855835551,9.216224103721416e-05,0.9989700040428103,0.00010681777938056472,5.6741745203174746e-05,0.000986490682160259,0.0017617304660351748,0.9595790080334797,0.0009200476962128788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.4082766282460769
3,0.002731369782924249,0.004105858783768802,0.9996057559778069,0.9968730755978592,0.9995799780540904,0.9998009722016024,0.002956179119919472,0.0027799213287777493,0.00521145576129452,0.002814844683177079,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.173725871406749
4,0.0027721086210792615,0.004029832738067587,0.9996362357159577,0.9967855613843098,0.9996105657448823,0.9998143581718749,0.0030370549428553086,0.002794152623423233,0.00510613885379849,0.0028946869964100344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.1695597833634217
5,0.0032078557034525314,0.004333430510977329,0.9996518953971024,0.9961666424043627,0.9996241623252875,0.9998189250726266,0.003616575628956115,0.003162957857404302,0.005470548135759721,0.0034552362798357713,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.1667823913345368
6,0.0008593217761618951,0.011625388202553356,7.719067808229065e-05,0.9992612005569087,9.001814363084214e-05,4.826407326436476e-05,0.0007068004505302536,0.0011727427172149524,0.028384815226385727,0.0006603309839407538,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.4615942230245799
7,0.003114144771399755,0.00428461202270355,0.999646348948449,0.9963075986869733,0.9996188938608449,0.9998168242842004,0.0034849194824241045,0.0030878202497703427,0.005413737925743338,0.0033273822936777365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.1667823913345368
8,0.010948879716415751,0.9928826408322526,0.0001826018979176652,0.9943747108623217,0.00020681112062145406,0.0001062315314440365,0.005462963667013877,0.17836201937672108,0.9916092146135931,0.004988785293766338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.2820441605332592
9,0.013474505829135288,0.005347634266547805,0.999787746027295,0.21012396986002826,0.9997625946209205,0.9998801645102614,0.5348875549501334,0.007633235966677229,0.0065298650080387955,0.8596634087198187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.1174836828218303
