sample,0,1,2,3,4,0:0,0:1,0:2,0:3,0:4,0:5,0:6,0:7,0:8,0:9,0:10,0:11,0:12,0:13,0:14,1:0,1:1,1:2,1:3,2:0,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,2:9,2:10,2:11,2:12,2:13,3:0,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8,3:9,3:10,3:11,3:12,3:13,4:0,4:1,4:2,4:3,4:4,target
0,0.9992545295745134,0.9996057460304649,0.9645049251012867,0.9938000179486738,0.9939456801240257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1549784752117761
1,0.0011240259210126106,0.0005714916828602954,0.9708899027826309,0.016028218401369736,0.01616864551633904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2292737119844466
2,0.999549283449016,0.9997385098614485,0.996939324681907,0.998045982231971,0.9981316922328246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.107068462713512
3,0.0012490310395599836,0.0006182472347573951,0.9842336117836399,0.03585364726405123,0.039302911117115556,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2237189279266768
4,0.9994701804343232,0.9997004553637173,0.9953193792259838,0.997362398765715,0.9974695674986945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1251215109012637
5,0.0007840380155428278,0.00042584857465735663,0.013384418073291925,0.005120740530375672,0.00495337693435159,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.252881544229968
6,0.000604343743712327,0.0003449033813057517,0.0048072610335913885,0.0028530607739861032,0.0027335215475631693,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2737119844466046
7,0.00047228172497922337,0.00027895710928391946,0.002771468366419117,0.001882311141891749,0.0017964867646271243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2987085127065685
8,0.9988620493034104,0.9994474703671412,0.010469162886029268,0.8735539722707951,0.7398150364435475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1841410915150673
9,0.9984281636335594,0.9992802423729198,0.007728043791717887,0.020579690355574852,0.018073247260996093,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.2013609220941536
10,0.9996811509993968,0.9998065700055346,0.9984377763071509,0.9988627330672866,0.9989169796755765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0570754061935842
11,0.0005737335868141981,0.00033025358126942563,0.0041874572699635475,0.0025878559559455146,0.0024766861095043315,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2780558255797806
12,0.000292351713580934,0.00018222975821917625,0.001231388804628863,0.0009445954962063886,0.0008979744527375462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.3702263574503541
13,0.0005100880109081736,0.00029870193741108925,0.003201209057969478,0.002114541601626828,0.002019825613406124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2903763366199139
14,0.0021914300349766993,0.0010305966991639047,0.9863911749324146,0.9445935596997942,0.9538763964122724,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2035828357172615
15,0.9984819466331273,0.9992971435234581,0.008198720685563453,0.0251233284919129,0.02171438106476686,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.2001110956811554
16,0.0006148091606096856,0.00035060138487419683,0.004931085639669649,0.0029149135234881845,0.0027930866517107016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2716289404249409
17,0.9993468457332664,0.9996448176538871,0.9891493789074669,0.9957730849390249,0.9959127412412297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1445632551034578
18,0.9989373117331242,0.9994774223234282,0.011949800692600973,0.9591257101357028,0.952444292786668,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.17997500347174
19,0.9995957232854765,0.9997617910432828,0.9975831212817109,0.9983709081984048,0.9984448572835414,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0931815025690876
20,0.001085110591405519,0.0005574699361185398,0.9530778839382822,0.01298614493988738,0.012935824467602075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.230662407998889
