feature,category,0
0,0,-0.006271584284092362
0,1,-0.005930697356112067
0,2,0.0009947790605705428
0,3,-0.0006917755066736145
0,4,-0.00028665050257875666
0,5,-0.0004150123653516197
0,6,0.0015669497280960797
0,7,0.013171200606684898
0,8,0.007070803857728242
0,9,-0.00021100572073478284
0,10,-0.0008432479759763268
0,11,7.245360778455716e-05
0,12,-0.0013387200430702944
0,13,-0.006020315491002475
1,0,0.005383956468993556
1,1,-0.007155579145273312
1,2,2.331517311542422e-05
1,3,0.0017483075031643415
2,0,3.90418277661859e-18
3,0,0.004058146336891012
3,1,-0.0016357123307054436
4,0,0.003761638103619016
4,1,0.008806468825808206
4,2,0.00022504599326294715
5,0,-0.0012965218847033428
5,1,0.0028089533045303323
5,2,-0.0032051558344855587
6,0,2.47415798835271e-18
7,0,0.008297092586372568
7,1,-0.004036371888196399
7,2,-0.008778121385657825
7,3,-0.0012054206418327879
8,0,0.002647178682975293
8,1,-0.001224396273253377
9,0,-0.0005033627671143844
9,1,-0.013333864193478397
9,2,-0.001737922479493193
9,3,-0.0021250629796953453
9,4,0.0155232690782517
9,5,-3.34090372868322e-18
9,6,-0.009401372463645684
9,7,-0.009033382765607207
9,8,-0.00018668734195942784
9,9,-0.0037485399189016687
9,10,0.012284165289902137
9,11,-0.0004429540969931706
9,12,0.008553580762829624
9,13,0.002138589561818324
9,14,-4.629559128393727e-18
9,15,0.0062537962782093955
9,16,-0.00024277226785832638
9,17,-0.0033657420264165076
9,18,-0.003308615404612188
9,19,0.005052692624670511
9,20,0.00018334962887560867
9,21,-0.00539584392160341
9,22,0.0005428902835545156
9,23,-0.00012525104032534652
10,0,0.0007742713976921295
10,1,-0.0003072794348984174
10,2,-2.2943937467695355e-18
10,3,-5.66812259966602e-19
10,4,-0.0010972993467370515
10,5,0.0007040372313162064
10,6,0.0015368861320020557
10,7,-0.0036339653225606417
11,0,2.728364140186771e-18
11,1,9.40918398923086e-19
11,2,-2.223239356310518e-18
11,3,1.01942300545694e-18
11,4,1.0579313324681023e-18
11,5,-1.248274365338864e-18
11,6,-1.0597631208297868e-18
12,0,-0.0008432479759763307
12,1,-0.00028665050257874365
12,2,-0.0032181133198571845
12,3,0.014296331133517495
13,0,-0.0006917755066736188
13,1,0.008036411132869119
13,2,0.006693955233759456
13,3,0.002016098158693469
13,4,-0.004607954096583701
13,5,-0.0006724246271451366
13,6,-0.001184479911252742
14,0,0.010508518468877251
14,1,-0.0024340297936962935
14,2,-0.008074488675180975
14,3,-6.273469786040172e-20
14,4,2.596962088322611e-18
15,0,-0.0024340297936962926
15,1,5.01715155164485e-19
15,2,-1.1957735795636277e-18
15,3,0.00022644896719468564
15,4,0.008036411132869115
15,5,2.0758453266270064e-19
15,6,-0.005828830306367516
16,0,0.00071946123743364
16,1,-0.0032195166447617028
16,2,6.183093721508774e-19
16,3,-0.0020503821368031464
16,4,-0.003468085757803538
16,5,0.001215159492845495
16,6,0.0011182129423996968
16,7,-0.0018937333752750375
16,8,-0.0027598421687273188
16,9,3.37203574122852e-06
16,10,0.0012129492083713244
16,11,0.001896312019980939
16,12,-0.0010453690930984892
16,13,-2.4391606470603988e-18
17,0,-0.00046963948231155885
17,1,-0.0006395608451143578
17,2,3.372035741229713e-06
17,3,-4.4005825302368925e-19
17,4,-0.00022367595957558002
17,5,0.0005987065959005888
17,6,0.0005726690113098433
17,7,0.004927764221056322
17,8,-0.0010062005686120646
17,9,-1.0330498512082949e-19
17,10,-0.00039928238818341276
17,11,-0.005339927571878043
17,12,-0.004742282400237248
17,13,-0.0007707834064799779
17,14,-3.830244672715083e-18
18,0,-0.002585028648651162
18,1,-0.008145645467889151
18,2,0.0027911554303667674
18,3,0.008126058632544307
19,0,-0.00021887263611186875
19,1,0.020401165859964564
19,2,0.01469610904276111
20,0,-0.0007443553281437079
20,1,0.010321650661067154
20,2,1.8022346024162656e-18
20,3,2.0198252691003527e-18
21,0,-5.853446892250067e-20
21,1,0.0030431724938328143
21,2,-0.0011555628435036625
21,3,0.0039036327468500998
21,4,-5.515250653835525e-05
22,0,-0.002429465401990102
22,1,-0.00273642372600063
22,2,-0.009677002468950702
22,3,0.03477615755233983
23,0,2.5608830149024178e-18
23,1,-0.0027364237260006303
23,2,-0.00016960229318248136
23,3,-0.003453323556836002
24,0,0.003346256100121565
24,1,0.025283167888574966
24,2,-0.0027364237260006303
24,3,0.005051934261293404
25,0,-0.002736423726000631
25,1,-0.0027914398421014673
25,2,0.0013143720848748238
25,3,-0.006089873812657346
25,4,0.017083678002363867
25,5,-0.004407455056350068
26,0,-0.0008326359392664268
26,1,0.0022719106234023534
26,2,-0.001404683364454683
26,3,0.003815970535181926
26,4,0.0006375321965137453
26,5,-0.0036352397276821994
27,0,2.4466305090955552e-19
27,1,-0.00128023659878353
27,2,-0.003194676601910121
27,3,0.000455128131224821
27,4,-3.019753364822382e-19
28,0,-1.2033118466193834e-18
28,1,-0.002639351548060636
28,2,-0.0003662489799338732
28,3,0.014032539701453317
29,0,0.0012938062439671015
30,0,-0.0013621565911014597
30,1,-0.0025570383196046272
30,2,1.5798942113747332e-19
30,3,4.0668773925720596e-18
30,4,-6.884902850111838e-19
31,0,-0.0020890716251703643
31,1,0.004263172351920502
31,2,0.03513132008276477
32,0,-0.0017512876082103348
32,1,-0.002739555345403734
32,2,-0.0007288664337630024
32,3,0.006401953972518436
32,4,-0.0016162904371349533
32,5,-0.0006009139915784159
33,0,-0.02066799766297802
33,1,-0.0010397565784677754
33,2,0.0032375408398243426
33,3,0.0008715195354003454
33,4,-0.005070930507215613
34,0,-0.0018142844818839102
34,1,-0.0017512876082103352
34,2,-0.0052331346098542925
34,3,0.007414782375699522
34,4,0.0084589157323831
34,5,-0.0017818476870584007
35,0,-0.005233134609854295
35,1,0.012830802402779892
35,2,0.007275465716966941
36,0,-0.005233134609854292
36,1,-0.003968451522060089
36,2,-1.14165366048247e-18
36,3,0.008036411132869119
36,4,9.09802075936137e-19
37,0,-0.005233134609854294
37,1,-0.0005472972554683424
37,2,0.00015714451646749096
37,3,1.867597431003509e-18
37,4,-0.0014108615533191524
38,0,0.006737805008689408
38,1,-0.00023311162876941765
39,0,-5.831422910824097e-19
39,1,-6.60171345216396e-19
39,2,9.882644080947954e-19
40,0,0.002841193476614933
40,1,-0.0038789631097607023
40,2,-0.00030441716130466664
40,3,0.005002989153687838
41,0,-2.1407292775053288e-18
41,1,0.0011053486892200182
41,2,-0.0006903363238683936
41,3,5.100069854821125e-19
42,0,-2.6141618282833724e-18
42,1,-0.00955170670177078
42,2,-0.0007696695946234558
42,3,-0.000517329681699135
42,4,0.0016116777982133875
42,5,0.009619424689649818
42,6,-0.0003923965097698453
42,7,1.1176012560168496e-18
43,0,0.009619424689649818
43,1,-0.0021092115156363164
43,2,0.0007221827246786643
43,3,-0.0005193351147386735
43,4,-0.0009490495978258314
