sample,0,1,2,3,4,0:0,0:1,0:2,0:3,0:4,0:5,0:6,0:7,0:8,0:9,0:10,0:11,0:12,0:13,0:14,1:0,1:1,1:2,1:3,2:0,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,2:9,2:10,2:11,2:12,2:13,3:0,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8,3:9,3:10,3:11,3:12,3:13,4:0,4:1,4:2,4:3,4:4,target
0,0.00043428933926693847,0.0002911253136022571,0.0006791543533478997,0.0007144726224809103,0.0006730262238904336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2459380641577558
1,0.0003599974272175738,0.000227705186419291,0.0005725903627996661,0.0005708052772995432,0.0005645578373236109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2035828357172615
2,0.9998295979847469,0.9998816059981052,0.9997360862577032,0.9997132412350167,0.9997377035811273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0667962782946813
3,0.00039209496714812613,0.0002587888276865369,0.0006158843380831057,0.0006387880692067718,0.0006095273884156586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2407998889043188
4,0.9997994702837296,0.9998836420443774,0.9996502414833813,0.999656987335401,0.999656121251553,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.1917789195945007
5,8.470760555506207e-05,5.464790617694558e-05,0.00013996890002571604,0.00014729559038437076,0.00013846222550916983,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2903763366199139
6,0.00025314306020296056,0.00013200814617657884,0.0004707864143542052,0.0004251945489823142,0.000459343488363804,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.173725871406749
7,0.9998887727205152,0.9999329870854312,0.9998098850019769,0.9998086097152163,0.9998126461645651,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1591445632551034
8,0.9997918461357589,0.9998642150386164,0.9996633325800574,0.9996429737572027,0.9996655919487365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0570754061935842
9,0.9992638944928685,0.9995295782504442,0.9987809638119237,0.9987203825399126,0.9988001723638099,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1459519511179003
10,0.0008257797537067758,0.0004755887634206176,0.0015853183917666626,0.0015625100042747377,0.0015383994298297512,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.2153867518400222
