sample,0,1,2,3,4,0:0,0:1,0:2,0:3,0:4,0:5,0:6,0:7,0:8,0:9,0:10,0:11,0:12,0:13,0:14,1:0,1:1,1:2,1:3,2:0,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,2:9,2:10,2:11,2:12,2:13,3:0,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8,3:9,3:10,3:11,3:12,3:13,4:0,4:1,4:2,4:3,4:4,target
0,0.9997706884413132,0.9998135247421849,0.999497264985283,0.9994873221284338,0.9995687946239746,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1549784752117761
1,0.9994768916930089,0.9996283504008313,0.9985024853527452,0.9985936634131141,0.998840507359457,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2292737119844466
2,0.9998634861786704,0.999883710168471,0.9997211910075591,0.9997101046499232,0.9997549558768282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.107068462713512
3,0.0001865427661960248,0.00014938409926030746,0.00041941182000941786,0.00042463588096733004,0.0003565288891119625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2237189279266768
4,0.9997160709238639,0.9997516684428599,0.9994408715110986,0.9994129509777937,0.9995025872679772,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1251215109012637
5,0.00024469555863005727,0.00020136693857346566,0.0005264239327533121,0.0005396880141874576,0.0004545218598705082,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.252881544229968
6,0.000249297825921018,0.0002111605454163493,0.0005134628909220062,0.0005327163801524226,0.0004500069019328345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2737119844466046
7,0.00013576538434611834,0.00011497176416155834,0.0002796565289307157,0.0002901106494310065,0.00024508280203596394,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2987085127065685
8,0.0003295828457762438,0.0002463193957985171,0.0008426038493935168,0.000820906341937138,0.0006827537527262107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1841410915150673
9,0.9997080726468766,0.9997723838177286,0.9993121829693392,0.9993130062018916,0.9994251714746726,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.2013609220941536
10,0.9998697552730365,0.9998859984707207,0.9997438424611296,0.9997309906620417,0.9997720265546106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0570754061935842
11,0.0002883466581143514,0.00025175899852743845,0.0005691610772066524,0.0005972189143879346,0.0005059487089156564,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2780558255797806
12,9.056772626667907e-05,7.814668072259414e-05,0.00018163372889263164,0.00018976759298894324,0.0001606108261604637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.3702263574503541
13,0.00013322831970005491,0.00011186679423958948,0.0002778899760366584,0.00028730152598133065,0.00024250086023923085,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2903763366199139
14,0.0002524132908907019,0.00019714352190685383,0.0005928281525958558,0.0005926567294116964,0.0004960237283032073,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2035828357172615
15,0.9997385239534469,0.9997942559374104,0.9993939468582872,0.9993917540393329,0.9994904485264647,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.2001110956811554
16,0.0003435970986704754,0.0002980536879878344,0.0006843309003490446,0.0007164099601221117,0.0006065366393653354,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2716289404249409
17,0.9997581424743281,0.9997972580184321,0.9994941774410461,0.999477384981309,0.9995589905004704,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.1445632551034578
18,0.9998065569241109,0.9998447477685082,0.999566673288706,0.9995608098142635,0.9996311568038652,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.17997500347174
19,0.9998200682378541,0.9998431662120547,0.9996440824615593,0.9996267729384096,0.9996838377999059,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0931815025690876
